lvl	Key	Value
>>>	Description	"Goodbye," she says, not without warmth. "It was a pleasure competing with you. Me? What will I do?" she says - though you did not ask. "Travel the Unterzee, I suppose. Look for purpose. Find some heroism to perform. Or villainy. After all, it is <i>my turn</i>." \r\n\r\nShe passes you a small box. "Collected this on a previous escapade. This is Arnold's share. Didn't have a chance to give it to him. You keep it. You made a fine Nemesis." She picks up her battered, soggy suitcase and enters the door of a merchant zubmarine. The door shuts, and she is gone.\r\n\r\nA Nook dock worker swims over. "Word has spread. It's not like a Trespasser to be so helpful. So, ah, thank you." 
>>>	Teaser	"Goodbye," she says, not without warmth...
>>	Name	See the Deductress off
>>	Description	You've found the orphans, put an end to the worst of the Maw quakes and even crushed a cult threatening the life of their god. The priests should be grateful. 
>>>	Description	The High Exarch looks simultaneously embarrassed and resentful. "We are not in the habit of disturbing the waters to look for something as elusive as the truth. The Maw feels all and she takes all into herself, in time." If only they knew.\r\n\r\n"Nonetheless, the feeling seems to be that you deserve a reward. Whatever else happened, you seem to have removed two irritations from Nook," the Exarch continues, with an indifferent, full-body aquatic shrug. "Here." The Exarch hands you a sack and ushers you out of the shrine. \r\n\r\nAt the shrine entrance you're met by a beaming Nooker wildly. "Thank you. You found my daughter, brought her home, <i>and</i> ensured those Trespassers cannot hurt us again. As far as I'm concerned, you're one of us." His hug is rough, but sincere.
>>>	Teaser	The High Exarch looks simultaneously embarrassed and resentful...
>>	Name	Return to the Maw-Shrine
>	Name	A Settling Peace
>	Description	The bar is a cacophony of ringing, watery bellows that seem to come from the floor and ceiling. Fortunately, some gestures are universal, and you are able to procure the local tipple: 'tartar', a rum made from dental pulp served in a sewn leather pouch with a steel straw. More experienced drinkers aspirate it straight up either nostril.
>	Teaser	The bar is a cacophony of ringing, watery bellows that seem to come from the floor and ceiling...
>>	Description	She lounges with a pouch of best plaque, and has acquired a corn-cob eelpipe of the type favoured by locals: noxious clouds of ink rise as she inhales with pleasure.
>>>	Description	deductress is charming but taunting, drops hints about how she's confident a dastardly blackguard is at the heart of all this, but is also finding this particular villainy a bit more rigorous than usual. "the presence - or absence rather - of children is disturbing, but... The game is afoot! Or a-fin, rather."
>>>	Teaser	deductress is charming but taunting, drops hints about how she's confident a dastardly blackguard is at the heart of all this, but is also finding this particular villainy a bit more rigorous than usual...
>>	Name	Talk to the Deductress
>>>	Description	\r\npushed back
>>>	Teaser	\r\npushed back
>>	Name	Investigate the Disappearances
>>>	Description	\r\n> to add: shoal +1. bugged, won't let me add.\r\n\r\nThe masked figure known as the Hempen Man has been making speeches denouncing the cult of the Maw, and arguing that placating the Maw can no longer guarantee their future. they are reluctant and fearful to tell you more.
>>>	Teaser	\r\n> to add: shoal +1...
>>	Description	A slow and deliberate affair; the two brawlers silently grapple, rolling like crocodiles. Acute observation may yield some insight into underwater combat, but it will not be easy.
>>>	Description	over too fast: the other drinkers gather in a loose floating sphere making slow, gonging chants of encouragement to the two women grimly grappling one another. After it is over, it is a moment before you realise that one of the fighters floats dead; the rest return to their drinks while the barman billhooks the body out of the back door. there is no watch to call, even if any were inclined to do so.
>>>	Teaser	over too fast: the other drinkers gather in a loose floating sphere making slow, gonging chants of encouragement to the two women grimly grappling one another...
>>	Name	Observe a fight
>>>	Description	observed.\r\n\r\nis it ok to have this be grindable? if not, is there another currency to offer that's vaguely equivalent?
>>>	Teaser	observed...
>	Name	BROKEN DO NOT USE Clone: The Crowded Mouth
>	Description	The tavern is rammed floor-to-ceiling. The vigorous shaking of the city has driven the Nookers to seek company, and to drink. \r\n\r\nIf you wish, you could procure the local tipple - 'milk'. It is not milk. The spiced rum is served in a sewn leather pouch with a steel straw.
>	Teaser	The tavern is rammed floor-to-ceiling...
>>	Description	She floats in one corner of the tavern. When she realises you've spotted her, she waves vigorously.
>>>	Description	"I'm normally overwhelmed by admirers. The Nookers must want to let me think. Shrewd of them. I'll save the city in no time." \r\n\r\nSave the city? Wasn't this about missing children? \r\n\r\n"Of course. But in these situations everything's connected. The Maw quakes, a mysterious masked priest... and the missing children. It's obvious really. The children have probably gone against the priest and met their match. Maybe they've been sacrificed in some dark ritual." She widens her eyes in mock horror. "After all, you'd need a mind of my calibre to succeed against such a villain."\r\n\r\nShe seems remarkably blasé about the children. Isn't that a little callous?\r\n\r\n"I'm sure they're fine. He wouldn't- I'm sure they're fine." She smiles brightly.
>>>	Teaser	"I'm normally overwhelmed by admirers...
>>>	Name	There's a sphere of space around her
>>	Name	Talk to the Deductress
>>	Description	Return to central Nook.
>>	Name	Leave the Crowded Mouth
>>	Description	The lungweed is wearing off. You have to get to air. Swim for your ship - fast!
>>>	Description	You claw wildly through the water towards your vessel. Your aim is desperate; dark blotches and white cracks flare through your vision. The effort of not breathing burns. The airlock is ready, open; but it must be closed and emptied. Finally, air inches into the top of the chamber. You cough and retch the Nookwater from your lungs. 
>>>	Teaser	You claw wildly through the water towards your vessel...
>>>	Name	Too close
>>	Name	The Creeping Drown
>>	Description	Milk seems popular with Nookers and bubble-mouths alike. From the relaxed demeanour of those floating in the tavern, it's certainly alcoholic. 
>>>	Description	It's not just the flavour - which is honey-sweet and throat warming - it's the delivery mechanism. The straw means every mouthful is a slurp, not a sip. The pouch is swiftly empty - but it has taken the edge off. 
>>>	Teaser	It's not just the flavour - which is honey-sweet and throat warming - it's the delivery mechanism...
>>>	Name	Eminently drinkable
>>	Name	Sample the local brew
>>	Description	A group of Nookers are gathering in one of the room corners. They float close together, and obscure what's occurring beyond them. 
>>>	Description	There is a sound of creaking, as something is pushed into a wall. This is followed by a low groaning from the crowd. But as you try to duck under the group for a better look, a smiling Nooker darts quickly to block your view. "Go back to your drink. Some things are just for us."\r\n\r\nObviously there's no rule to enforce this. But her expression suggests you'd do wise not to push it. 
>>>	Teaser	There is a sound of creaking, as something is pushed into a wall...
>>>	Name	"Not for you, bubble-mouth."
>>	Name	Investigate that scuffle in the corner
>>	Description	Where people drink, people talk.
>>>	Description	It's rare to find real silence in the underwater city, but you seem to be carrying a bubble of noiselessness about with you. Groups of drinkers fall silent as you pass, and your questions fall on resolutely deaf ears. 
>>>	Teaser	It's rare to find real silence in the underwater city, but you seem to be carrying a bubble of noiselessness about with you...
>>>	Name	Not a sound
>>	Name	Pursue your investigations
